web-scraper-order,web-scraper-start-url,School Name,URL,State
"1647724905-316","https://searchenginesmarketer.com/company/resources/university-college-list/","Colorado State University","http://colostate.edu","CO"
"1647724905-837","https://searchenginesmarketer.com/company/resources/university-college-list/","Wor-Wic Community College","http://worwic.edu","MD"
"1647724905-220","https://searchenginesmarketer.com/company/resources/university-college-list/","Orange Coast College","http://orangecoastcollege.edu","CA"
"1647724905-1528","https://searchenginesmarketer.com/company/resources/university-college-list/","Villanova University","http://villanova.edu","PA"
"1647724905-574","https://searchenginesmarketer.com/company/resources/university-college-list/","Lake Forest College","http://lakeforest.edu","IL"
"1647724905-991","https://searchenginesmarketer.com/company/resources/university-college-list/","Washington University in Saint Louis","http://wustl.edu","MO"
"1647724905-1341","https://searchenginesmarketer.com/company/resources/university-college-list/","Lakeland Community College","http://lakelandcc.edu","OH"
"1647724905-1323","https://searchenginesmarketer.com/company/resources/university-college-list/","Cedarville University","http://cedarville.edu","OH"
"1647724905-93","https://searchenginesmarketer.com/company/resources/university-college-list/","Barstow Community College","http://barstow.edu","CA"
"1647724905-1777","https://searchenginesmarketer.com/company/resources/university-college-list/","New River Community College","http://nr.edu","VA"
"1647724905-1656","https://searchenginesmarketer.com/company/resources/university-college-list/","Central Texas College","http://ctcd.edu","TX"
"1647724905-119","https://searchenginesmarketer.com/company/resources/university-college-list/","Claremont McKenna College","http://cmc.edu","CA"
"1647724905-448","https://searchenginesmarketer.com/company/resources/university-college-list/","Berry College","http://berry.edu","GA"
"1647724905-961","https://searchenginesmarketer.com/company/resources/university-college-list/","Lincoln University","http://lincolne.edu","MO"
"1647724905-482","https://searchenginesmarketer.com/company/resources/university-college-list/","Piedmont College","http://piedmont.edu","GA"
"1647724905-57","https://searchenginesmarketer.com/company/resources/university-college-list/","University of Central Arkansas","http://uca.edu","AR"
"1647724905-1289","https://searchenginesmarketer.com/company/resources/university-college-list/","Stony Brook University","http://stonybrook.edu","NY"
"1647724905-1627","https://searchenginesmarketer.com/company/resources/university-college-list/","Tennessee State University","http://tnstate.edu","TN"
"1647724905-1700","https://searchenginesmarketer.com/company/resources/university-college-list/","South Texas College","http://southtexascollege.edu","TX"
"1647724905-1434","https://searchenginesmarketer.com/company/resources/university-college-list/","Western Oregon University","http://wou.edu","OR"
"1647724905-859","https://searchenginesmarketer.com/company/resources/university-college-list/","Alpena Community College","http://alpenacc.edu","MI"
"1647724905-1688","https://searchenginesmarketer.com/company/resources/university-college-list/","Our Lady of the Lake University","http://ollusa.edu","TX"
"1647724905-1077","https://searchenginesmarketer.com/company/resources/university-college-list/","University of North Carolina Pembroke","http://uncp.edu","NC"
"1647724905-1716","https://searchenginesmarketer.com/company/resources/university-college-list/","Temple College","http://templejc.edu","TX"
"1647724905-294","https://searchenginesmarketer.com/company/resources/university-college-list/","Western University of Health Sciences","http://westernu.edu","CA"
"1647724905-1108","https://searchenginesmarketer.com/company/resources/university-college-list/","University of Nebraska at Kearney","http://unk.edu","NE"
"1647724905-1508","https://searchenginesmarketer.com/company/resources/university-college-list/","University of Pittsburgh","http://pitt.edu","PA"
"1647724905-776","https://searchenginesmarketer.com/company/resources/university-college-list/","Salem State University","http://salemstate.edu","MA"
"1647724905-1737","https://searchenginesmarketer.com/company/resources/university-college-list/","University of Texas at El Paso","http://utep.edu","TX"
"1647724905-202","https://searchenginesmarketer.com/company/resources/university-college-list/","Los Medanos College","http://losmedanos.edu","CA"
"1647724905-756","https://searchenginesmarketer.com/company/resources/university-college-list/","Lesley University","http://lesley.edu","MA"
"1647724905-894","https://searchenginesmarketer.com/company/resources/university-college-list/","Oakland Univeristy","http://oakland.edu","MI"
"1647724905-755","https://searchenginesmarketer.com/company/resources/university-college-list/","College of the Holy Cross","http://holycross.edu","MA"
"1647724905-1373","https://searchenginesmarketer.com/company/resources/university-college-list/","Walsh University","http://walsh.edu","OH"
"1647724905-879","https://searchenginesmarketer.com/company/resources/university-college-list/","Jackson College","http://jccmi.edu","MI"
"1647724905-1474","https://searchenginesmarketer.com/company/resources/university-college-list/","Keystone College","http://keystone.edu","PA"
"1647724905-1703","https://searchenginesmarketer.com/company/resources/university-college-list/","South Texas College of Law","http://stcl.edu","TX"
"1647724905-1300","https://searchenginesmarketer.com/company/resources/university-college-list/","Syracuse University","http://syr.edu","NY"
"1647724905-145","https://searchenginesmarketer.com/company/resources/university-college-list/","DeAnza College","http://deanza.edu","CA"
"1647724905-876","https://searchenginesmarketer.com/company/resources/university-college-list/","Henry Ford College","http://hfcc.edu","MI"
"1647724905-632","https://searchenginesmarketer.com/company/resources/university-college-list/","DePauw University","http://depauw.edu","IN"
"1647724905-1526","https://searchenginesmarketer.com/company/resources/university-college-list/","University of the Sciences in Philadelphia","http://usciences.edu","PA"
"1647724905-1602","https://searchenginesmarketer.com/company/resources/university-college-list/","Columbia State Community College","http://columbiastate.edu","TN"
"1647724905-409","https://searchenginesmarketer.com/company/resources/university-college-list/","Miami International University of Art and Design","http://mymiu.edu","FL"
"1647724905-1572","https://searchenginesmarketer.com/company/resources/university-college-list/","Orangeburg-Calhoun Technical College","http://octech.edu","SC"
"1647724905-928","https://searchenginesmarketer.com/company/resources/university-college-list/","Metropolitan State University","http://metrostate.edu","MN"
"1647724905-1067","https://searchenginesmarketer.com/company/resources/university-college-list/","Southeastern Baptist Theological Seminary","http://sebts.edu","NC"
"1647724905-878","https://searchenginesmarketer.com/company/resources/university-college-list/","Hope College","http://hope.edu","MI"
"1647724905-1161","https://searchenginesmarketer.com/company/resources/university-college-list/","Sussex County Community College","http://sussex.edu","NJ"
"1647724905-1479","https://searchenginesmarketer.com/company/resources/university-college-list/","Lancaster County Career and Technology Center","http://lancasterctc.edu","PA"
"1647724905-1099","https://searchenginesmarketer.com/company/resources/university-college-list/","Creighton University","http://creighton.edu","NE"
"1647724905-873","https://searchenginesmarketer.com/company/resources/university-college-list/","Finlandia University","http://finlandia.edu","MI"
"1647724905-1143","https://searchenginesmarketer.com/company/resources/university-college-list/","Mercer County Community  College","http://mccc.edu","NJ"
"1647724905-1773","https://searchenginesmarketer.com/company/resources/university-college-list/","James Madison University","http://jmu.edu","VA"
"1647724905-1642","https://searchenginesmarketer.com/company/resources/university-college-list/","Angelo State University","http://angelo.edu","TX"
"1647724905-1183","https://searchenginesmarketer.com/company/resources/university-college-list/","Sierra Nevada College","http://sierranevada.edu","NV"
"1647724905-1753","https://searchenginesmarketer.com/company/resources/university-college-list/","Brigham Young University","http://byu.edu","UT"
"1647724905-1570","https://searchenginesmarketer.com/company/resources/university-college-list/","Newberry College","http://newberry.edu","SC"
"1647724905-1027","https://searchenginesmarketer.com/company/resources/university-college-list/","Cape Fear Community College","http://cfcc.edu","NC"
"1647724905-1449","https://searchenginesmarketer.com/company/resources/university-college-list/","Chatham University","http://chatham.edu","PA"
"1647724905-295","https://searchenginesmarketer.com/company/resources/university-college-list/","Westmont College","http://westmont.edu","CA"
"1647724905-436","https://searchenginesmarketer.com/company/resources/university-college-list/","University of South Florida Sarasota-Manatee","http://usfsm.edu","FL"
"1647724905-311","https://searchenginesmarketer.com/company/resources/university-college-list/","Community College of Denver","http://ccd.edu","CO"
"1647724905-349","https://searchenginesmarketer.com/company/resources/university-college-list/","Sacred Heart University","http://sacredheart.edu","CT"
